Date,Commodity,Variety,Min_Price,Max_Price,Modal_Price,District,Market,Arrival_Quantity,Demand,
2/28/2020,Potato,Other,1200,1900,1800,Pune,Pune,35000,0.19,
02-07-2022,Potato,Other,1000,1400,1200,Pune,Pune,36100,0.3,
09-02-2021,Potato,Other,700,1300,1000,Pune,Pune,36500,0.36,
8/23/2022,Potato,Other,1600,2200,1900,Pune,Pune,37100,0.2,
05-05-2021,Potato,Other,900,1500,1200,Pune,Pune,38600,0.32,
02-09-2022,Potato,Other,1000,1500,1250,Pune,Pune,39700,0.32,
12-01-2020,Potato,Other,3200,3800,3500,Pune,Pune,40800,0.12,
4/21/2021,Potato,Other,700,1600,1150,Pune,Pune,42900,0.37,
9/21/2020,Potato,Other,2000,3100,2550,Pune,Pune,43000,0.17,
03-02-2020,Potato,Other,1200,1800,1500,Pune,Pune,45300,0.3,
04-01-2021,Potato,Other,1000,1600,1300,Pune,Pune,45900,0.35,
8/25/2022,Potato,Other,1500,2200,1850,Pune,Pune,46000,0.25,
8/22/2021,Potato,Other,700,1300,1000,Pune,Pune,48700,0.49,
12/27/2021,Potato,Other,800,1800,1300,Pune,Pune,49200,0.38,
8/20/2020,Potato,Other,2400,2800,2600,Pune,Pune,49400,0.19,
5/26/2021,Potato,Other,900,1600,1250,Pune,Pune,49500,0.4,
07-12-2020,Potato,Other,2400,3000,2700,Pune,Pune,49500,0.18,
05-10-2022,Potato,Other,1600,2200,1900,Pune,Pune,49700,0.26,
2/19/2021,Potato,Other,1000,1300,1150,Pune,Pune,50800,0.44,
03-08-2021,Potato,Other,700,1400,1050,Pune,Pune,51000,0.49,
5/24/2023,Potato,Other,1000,2200,1600,Pune,Pune,51500,0.32,
11-04-2021,Potato,Other,1200,2000,1600,Pune,Pune,52600,0.33,
1/23/2022,Potato,Other,700,1400,1050,Pune,Pune,53000,0.5,
5/24/2022,Potato,Other,1400,2000,1700,Pune,Pune,54700,0.32,
2/22/2022,Potato,Other,1100,1500,1300,Pune,Pune,55500,0.43,
08-05-2022,Potato,Other,1800,2200,2000,Pune,Pune,55900,0.28,
02-08-2023,Potato,Other,1000,1600,1300,Pune,Pune,56200,0.43,
1/25/2022,Potato,Other,800,1300,1050,Pune,Pune,56900,0.54,
01-10-2022,Potato,Other,800,1500,1150,Pune,Pune,57300,0.5,
2/27/2023,Potato,Other,600,1300,950,Pune,Pune,57600,0.61,
10/13/2022,Potato,Other,1800,2800,2300,Pune,Pune,58900,0.26,
01-06-2020,Potato,Other,1800,2600,2300,Pune,Pune,59400,0.26,
